City,Country,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
Bambous Virieux,MU,-20.34,57.76,40,88,77.0,10.16
Laje,BR,-10.18,-40.97,31,73,73.69,2.75
Kapaa,US,22.08,-159.32,75,100,73.4,9.17
Alofi,NU,-19.06,-169.92,75,74,86.0,11.41
Hanyang,CN,32.14,105.51,49,67,52.0,1.77
Touros,BR,-5.2,-35.46,20,83,80.6,6.93
Auki,SB,-8.77,160.7,0,73,83.93,4.25
Ilhabela,BR,-23.78,-45.36,17,82,78.35,3.24
Oranjemund,NA,-28.55,16.43,0,94,60.51,5.21
Hässleholm,SE,56.16,13.77,93,87,46.4,8.05
Hamilton,US,39.18,-84.53,1,50,52.0,3.36
Port Alfred,ZA,-33.59,26.89,24,95,66.99,1.01
Hokitika,NZ,-42.72,170.97,0,59,60.94,6.17
Forsytheganj,BY,52.63,29.73,20,92,34.77,5.79
Lubango,AO,-14.92,13.49,100,94,61.45,3.29
Youghal,IE,51.95,-7.85,75,93,48.99,11.41
Barra do Garças,BR,-15.89,-52.26,18,86,73.62,2.01
Dikson,RU,73.51,80.55,92,100,-8.59,6.44
Fortuna,US,40.6,-124.16,90,87,48.99,11.41
Bastrop,US,32.76,-91.87,75,64,75.2,4.72
Asău,RO,46.43,26.4,80,83,46.0,5.82
Ferkessédougou,CI,9.6,-5.2,85,57,82.2,5.1
Lebu,CL,-37.62,-73.65,0,83,57.31,8.19
Cape Town,ZA,-33.93,18.42,8,88,66.99,10.29
Katsuura,JP,35.13,140.3,20,50,57.0,6.93
Chengzhong,CN,30.95,113.55,0,93,50.0,2.24
Carnarvon,AU,-24.87,113.63,100,68,71.6,13.87
Doha,QA,25.29,51.53,1,77,75.0,6.93
Vostok,RU,46.49,135.88,37,87,25.74,5.5
Qaanaaq,GL,77.48,-69.36,98,59,-19.86,6.06
Ati,TD,13.22,18.34,37,8,77.4,12.97
Sept-Îles,CA,50.2,-66.38,90,92,27.0,16.11
Victor Harbor,AU,-35.57,138.62,99,24,81.0,11.41
Kailua,US,21.4,-157.74,90,64,75.2,12.75
Narsaq,GL,60.92,-46.05,14,46,10.4,6.93
Broken Hill,AU,-31.95,141.43,0,40,73.4,10.29
La Ronge,CA,55.1,-105.28,75,38,6.8,3.36
Geraldton,AU,-28.77,114.6,93,59,64.4,8.05
Sabang,ID,5.89,95.32,60,74,83.26,12.88
Killarney,IE,52.05,-9.52,100,98,43.54,4.25
Port-Gentil,GA,-0.72,8.78,40,83,84.2,10.29
Mahon,ES,39.89,4.27,100,87,57.2,12.75
Sobolevo,RU,54.43,31.9,82,92,33.39,7.83
Taltal,CL,-25.4,-70.48,0,89,59.04,3.15
Codrington,AU,-38.27,141.97,100,57,67.62,14.12
Porto Walter,BR,-8.27,-72.74,100,99,71.15,0.85
Comodoro Rivadavia,AR,-45.87,-67.5,20,72,62.6,16.11
Chapais,CA,49.78,-74.85,90,85,23.0,14.99
Yangi Marg`ilon,UZ,40.43,71.72,72,46,53.6,6.93
Saint Paul Harbor,US,57.79,-152.41,1,70,44.6,9.17
Kungurtug,RU,50.6,97.52,18,71,4.98,4.41
Sørland,NO,67.67,12.69,40,70,37.4,8.05
Palmer,US,42.16,-72.33,75,75,50.0,4.7
Celestún,MX,20.87,-90.4,0,82,77.14,24.43
Tautira,PF,-17.73,-149.15,40,66,87.8,8.05
Port Elizabeth,ZA,-33.92,25.57,0,64,69.8,8.05
Bluff,NZ,-46.6,168.33,24,74,55.99,5.01
San Cristobal,VE,7.77,-72.22,40,58,84.2,4.7
Aksu,CN,41.12,80.26,25,30,43.07,5.19
Digby,CA,44.62,-65.77,100,86,34.0,20.54
San Ignacio,BZ,17.16,-89.07,40,41,93.2,4.7
Otterup,DK,55.52,10.4,100,93,46.4,18.34
Mount Gambier,AU,-37.83,140.77,75,35,73.4,13.87
Grindavik,IS,63.84,-22.43,90,86,32.0,21.92
Mbandaka,CD,0.05,18.26,52,97,71.67,2.64
Envira,BR,-7.3,-70.22,100,98,71.49,1.12
Hargeisa,SO,9.56,44.06,70,93,65.5,3.62
Birao,CF,10.28,22.79,10,18,77.95,7.54
Jérémie,HT,18.65,-74.12,22,81,65.08,1.83
Bonthe,SL,7.53,-12.51,0,83,80.55,8.03
Faanui,PF,-16.48,-151.75,100,70,83.43,6.87
Hongjiang,CN,27.11,110.0,93,91,51.03,0.89
Plainview,US,40.78,-73.47,90,71,54.0,5.82
Kawalu,ID,-7.38,108.21,70,87,72.66,2.42
Bilma,NE,18.69,12.92,0,9,73.4,9.51
Kargasok,RU,59.06,80.86,82,89,24.04,24.18
Thompson,CA,55.74,-97.86,5,45,5.0,9.17
Ponta do Sol,PT,32.67,-17.1,40,72,59.0,18.34
Butaritari,KI,3.07,172.79,0,75,83.35,12.68
Whithorn,JM,18.26,-78.04,20,65,82.4,20.8
Khandyga,RU,62.67,135.6,6,93,0.61,2.1
Yel'nya,RU,54.58,33.18,75,94,32.27,7.65
Vanavara,RU,60.34,102.28,56,93,-1.53,4.07
Lompoc,US,34.64,-120.46,20,50,57.99,8.05
Teguise,ES,29.06,-13.56,40,67,60.8,12.75
Willmar,US,45.12,-95.04,40,56,42.8,6.58
Pedernales,DO,18.04,-71.74,20,62,84.2,11.41
Rodeo,US,38.03,-122.27,1,62,57.99,9.17
Bilibino,RU,68.05,166.44,100,92,18.16,7.58
São Miguel do Araguaia,BR,-13.28,-50.16,54,90,74.46,0.65
Mayo,US,38.89,-76.51,90,66,64.4,4.7
Batemans Bay,AU,-35.72,150.18,0,66,72.0,3.0
Yaan,NG,7.38,8.57,95,46,85.87,8.3
Moree,AU,-29.47,149.85,0,64,68.0,11.41
Salalah,OM,17.02,54.09,75,73,77.0,5.82
High Level,CA,58.52,-117.14,75,62,21.2,11.41
Sovetskiy,RU,61.36,63.58,0,86,20.73,10.0
Kyabé,TD,9.45,18.94,73,14,81.63,5.95
Kedrovka,RU,55.53,86.05,90,80,35.6,17.9
Tagusao,PH,9.19,117.81,1,75,79.25,7.14
Clarence Town,AU,-32.58,151.78,20,77,72.0,5.82
Bandarbeyla,SO,9.49,50.81,44,71,78.98,9.71
Moroto,UG,2.53,34.67,100,68,73.87,0.78
Inza,RU,53.85,46.36,4,83,28.53,6.76
Pevek,RU,69.7,170.31,100,95,25.02,11.72
Leningradskiy,RU,69.38,178.42,100,79,29.23,7.43
Sweetwater,US,25.76,-80.37,75,61,80.01,11.41
Illescas,ES,40.12,-3.85,34,81,52.0,3.36
Ozinki,RU,51.18,49.68,0,70,32.68,8.12
Lapeer,US,43.05,-83.32,1,39,48.99,8.05
Liku,ID,-0.73,119.89,7,79,75.92,3.11
Våler,NO,60.68,11.83,100,75,39.2,13.87
Moose Factory,CA,51.26,-80.61,1,52,15.8,13.87
Samut Songkhram,TH,13.41,100.0,100,81,78.37,3.96
Kapit,MY,2.02,112.93,69,97,74.19,1.41
Qiongshan,CN,20.01,110.35,75,94,71.6,6.71
Atar,MR,20.52,-13.05,96,23,66.67,8.19
Indianola,US,41.36,-93.56,40,57,50.0,11.41
Manaure,CO,11.78,-72.44,20,69,80.6,13.87
Saint-Augustin,CA,51.23,-58.65,100,85,27.45,21.77
Kahului,US,20.89,-156.47,40,65,82.4,9.17
Conceição da Barra,BR,-18.59,-39.73,0,78,81.27,13.31
Yulara,AU,-25.24,130.99,0,28,82.4,10.29
Samarai,PG,-10.62,150.67,38,74,82.38,5.57
Bredasdorp,ZA,-34.53,20.04,27,77,66.2,6.93
Talnakh,RU,69.49,88.4,75,85,10.4,26.84
Celendín,PE,-6.87,-78.15,90,77,59.0,2.24
Araouane,ML,18.9,-3.53,86,9,79.52,8.68
Tete,MZ,-16.16,33.59,40,69,78.8,13.87
Mahébourg,MU,-20.41,57.7,40,88,77.0,5.35
Dalbandin,PK,28.89,64.41,36,34,66.22,5.73
Sergiyevsk,RU,53.94,51.16,28,89,28.49,5.21
Boussé,BF,12.66,-1.89,55,20,95.0,5.82
Osvaldo Cruz,BR,-21.8,-50.88,1,76,76.5,1.07
Atambua,ID,-9.11,124.89,5,76,79.45,1.3
Hobyo,SO,5.35,48.53,22,79,77.47,11.34
Husavik,IS,66.04,-17.34,90,95,32.0,27.51
São Filipe,CV,14.9,-24.5,71,77,67.32,16.78
Shelburne,CA,44.08,-80.2,1,32,41.0,16.11
Udachny,RU,66.42,112.4,0,82,-18.4,4.47
Nikolskoye,RU,59.7,30.79,75,80,39.2,8.95
Marsh Harbour,BS,26.54,-77.06,7,70,72.16,8.81
Nara,JP,34.69,135.8,75,71,53.6,2.24
Viedma,AR,-40.81,-63.0,6,81,62.33,13.85
Kattivākkam,IN,13.22,80.32,40,88,82.0,2.24
Rocha,UY,-34.48,-54.33,100,77,64.78,10.54
Puerto Escondido,MX,15.85,-97.07,6,58,79.2,4.36
Zambrów,PL,52.99,22.24,80,76,44.04,5.82
Rey Bouba,CM,8.67,14.18,100,17,77.0,0.87
Uruaçu,BR,-14.52,-49.14,39,94,72.34,0.85
Myitkyina,MM,25.38,97.4,63,57,66.88,4.99
Ossora,RU,59.24,163.07,100,86,18.36,12.44
Jalu,LY,29.03,21.55,0,34,58.15,11.43
Lagos,NG,6.58,3.75,40,89,84.2,4.7
Bam,IR,29.11,58.36,0,25,63.9,1.34
Los Llanos de Aridane,ES,28.66,-17.92,40,77,60.8,19.46
Solwezi,ZM,-12.17,26.39,100,99,62.1,3.15
Pithora,IN,21.27,82.52,9,40,71.73,2.51
Great Bend,US,38.36,-98.76,90,87,48.2,13.87
Alice Springs,AU,-23.7,133.88,0,32,80.6,10.29
Lanzhou,CN,36.06,103.79,13,42,41.0,4.47
Pilar,BR,-9.6,-35.96,75,88,78.8,2.24
Tahoua,NE,14.89,5.27,0,7,87.8,2.24
Poum,NC,-20.23,164.02,18,75,80.13,15.41
Egvekinot,RU,66.32,-179.17,100,88,23.85,11.1
Sur,OM,22.57,59.53,0,50,65.82,3.71
Yablonovo,RU,50.85,37.36,18,55,33.8,8.95
Bijie,CN,27.31,105.29,38,73,46.62,1.45
Sierra Vista,US,31.55,-110.3,1,18,70.0,23.04
Havre-St-Pierre,CA,50.23,-63.6,90,92,26.6,14.99
Yar-Sale,RU,66.83,70.83,41,81,9.54,12.71
Asaka,JP,35.8,139.6,1,53,57.0,3.36
São João da Barra,BR,-21.64,-41.05,75,83,77.0,16.11
Ampanihy,MG,-24.7,44.75,14,94,65.91,6.46
Shahr-e Kord,IR,32.33,50.86,94,64,35.6,4.7
Hasaki,JP,35.73,140.83,20,61,48.0,3.36
Mehamn,NO,71.04,27.85,75,79,28.4,2.24
Visby,SE,57.64,18.3,72,87,44.01,17.22
Evensk,RU,61.95,159.23,98,90,11.73,2.95
Lake Cowichan,CA,48.83,-124.05,40,53,53.01,10.29
Saint-Joseph,RE,-21.37,55.62,90,88,75.2,6.93
Haines Junction,CA,60.75,-137.51,45,77,25.48,3.06
Līsakovsk,KZ,52.54,62.49,0,89,19.49,11.7
George Town,MY,5.41,100.34,20,88,80.01,4.7
Zhezkazgan,KZ,47.8,67.71,38,75,25.07,4.25
Batticaloa,LK,7.71,81.69,98,93,73.24,1.23
Bonavista,CA,48.65,-53.11,62,70,27.09,23.42
Xining,CN,36.62,101.77,21,52,30.87,3.98
San Quintín,MX,30.48,-115.95,45,55,60.22,7.45
Dongning,CN,44.06,131.12,29,75,33.04,4.32
Port Blair,IN,11.67,92.75,100,72,82.33,7.27
Cherskiy,RU,68.75,161.3,100,93,2.95,13.78
Qūchān,IR,37.11,58.51,94,80,45.32,7.94
Morón,AR,-34.65,-58.62,90,100,64.4,5.82
Lafia,NG,8.48,8.52,100,25,83.17,2.28
Ishigaki,JP,24.34,124.16,40,77,69.8,6.93
Hay River,CA,60.82,-115.8,90,78,8.6,4.7
Harunabad,PK,29.61,73.14,0,45,66.51,7.14
Fairbanks,US,64.84,-147.72,90,50,37.4,0.92
Arrifes,PT,37.77,-25.7,20,82,55.4,3.36
Hemnesberget,NO,66.23,13.63,100,93,34.0,1.01
Oussouye,SN,12.48,-16.55,0,83,75.2,9.17
Grants Pass,US,42.44,-123.33,90,50,57.0,3.36
Baghdad,IQ,33.34,44.4,90,82,66.2,12.75
Ust'-Ishim,RU,57.69,71.17,99,88,28.42,12.68
Magdagachi,RU,53.45,125.8,100,95,26.89,6.29
Ambilobe,MG,-13.2,49.05,65,91,74.93,2.62
Isangel,VU,-19.55,169.27,75,78,80.6,3.36
Pemberton,CA,50.32,-122.8,5,20,53.6,5.82
Morgan City,US,29.7,-91.21,92,88,78.01,3.36
Yumen,CN,40.28,97.2,81,29,34.97,9.06
Young,UY,-32.68,-57.63,99,85,65.43,12.15
Souillac,MU,-20.52,57.52,40,88,77.0,5.35
Port Hedland,AU,-20.32,118.57,0,83,80.6,3.36
Gemena,CD,3.25,19.77,87,65,79.0,5.75
La Santisima Trinidad,BO,-14.83,-64.9,75,79,84.2,2.17
Liuli,TZ,-11.08,34.63,52,72,78.3,6.26
Dingle,PH,11.0,122.67,22,79,77.63,12.24
Kupang,ID,-10.17,123.58,20,94,77.0,2.24
Panguna,PG,-6.32,155.48,49,68,82.6,4.12
Plan-les-Ouates,CH,46.17,6.12,0,81,50.0,1.12
Flin Flon,CA,54.77,-101.86,40,38,6.8,10.29
Polunochnoye,RU,60.87,60.42,1,89,17.22,5.41
Upernavik,GL,72.79,-56.15,30,51,-12.06,6.33
Ancud,CL,-41.87,-73.82,13,76,55.4,6.93
Onega,RU,63.91,38.14,100,91,29.55,16.17
Deputatsky,RU,69.3,139.9,33,90,-17.75,6.69
Tucupita,VE,9.06,-62.05,70,69,77.81,6.38
Kamenka,RU,51.32,42.77,69,69,30.99,5.73
Tekkali,IN,18.62,84.23,0,88,73.33,1.12
Ordzhonīkīdze,KZ,52.44,61.74,0,90,18.75,10.76
Cametá,BR,-2.24,-49.5,51,96,75.52,4.12
Kulhudhuffushi,MV,6.62,73.07,68,78,83.68,17.9
Vanimo,PG,-2.67,141.3,59,74,82.31,8.46
Särevere,EE,58.79,25.43,93,92,39.99,3.0
Umm Kaddadah,SD,13.6,26.69,31,17,71.13,14.94
Pronsk,RU,54.1,39.61,0,50,35.01,4.0
Kavarna,BG,43.43,28.33,40,69,35.6,6.93
Conceição do Araguaia,BR,-8.26,-49.26,8,74,84.2,3.36
Cockburn Town,TC,21.46,-71.14,40,64,75.2,11.41
Rio Grande,BR,-32.03,-52.1,75,73,75.2,19.46
Esmeralda,CU,21.85,-78.12,20,51,82.4,18.34
Sabzawār,IR,36.21,57.68,85,65,55.62,11.14
Kavieng,PG,-2.57,150.8,100,77,82.78,13.31
Coronado,US,32.69,-117.18,40,44,63.0,8.05
Ngunguru,NZ,-35.62,174.5,0,53,66.99,7.0
Olinda,BR,-8.01,-34.86,40,74,84.2,6.93
Bethanien,NA,-26.5,17.16,17,26,75.47,3.22
Yamada,JP,39.47,141.95,43,54,46.11,5.84
Meulaboh,ID,4.14,96.13,100,73,79.9,4.76
San Lazaro,BZ,18.04,-88.66,40,66,84.2,11.41
Arenápolis,BR,-14.45,-56.85,47,90,75.0,2.04
Merauke,ID,-8.47,140.33,67,70,84.07,6.17
Kushiro,JP,42.98,144.37,20,79,28.4,5.82
Port Lincoln,AU,-34.73,135.87,83,27,81.81,7.92
Olafsvik,IS,64.89,-23.71,100,80,27.7,37.92
Jijiga,ET,9.35,42.8,39,67,65.62,5.59
Odesa,UA,46.48,30.73,97,80,39.2,5.26
Gaziantep,TR,37.06,37.38,75,87,48.2,11.41
Leh,IN,34.17,77.58,100,76,9.57,2.84
San Jose,US,37.34,-121.89,75,58,57.2,13.87
Camacha,PT,33.08,-16.33,75,72,59.0,18.34
Grand-Lahou,CI,5.14,-5.02,100,81,83.64,20.27
Dandong,CN,40.13,124.39,0,52,44.33,11.14
Gobabis,NA,-22.45,18.97,64,82,68.0,1.12
Sishui,CN,35.65,117.28,0,14,60.01,1.01
Naryan-Mar,RU,67.67,53.09,100,93,25.36,19.37
Suntar,RU,62.14,117.63,100,93,-1.77,7.83
Hauterive,FR,46.09,3.45,0,81,48.0,3.36
Sinnamary,GF,5.38,-52.95,39,78,80.67,13.91
Vao,NC,-22.67,167.48,62,74,77.05,18.48
Yokote,JP,39.3,140.57,75,93,39.2,1.12
Kemin,KG,42.78,75.69,100,87,41.47,2.95
Lukulu,ZM,-14.37,23.24,100,95,65.82,3.71
Safaga,EG,26.73,33.94,0,36,64.4,18.34
Ostrovnoy,RU,68.05,39.51,4,96,16.77,13.29
Buraidah,SA,26.33,43.98,75,64,75.2,16.11
Ukiah,US,39.15,-123.21,90,75,52.0,5.82
Saint-Pierre,RE,-21.34,55.48,90,88,75.2,6.93
Preston,GB,53.77,-2.72,75,87,55.99,19.46
Taoudenni,ML,22.68,-3.98,92,11,74.73,7.58
Aden,YE,12.78,45.04,100,75,78.12,17.78
Beihai,CN,21.48,109.1,100,89,66.97,10.02
Florø,NO,61.6,5.03,96,86,41.0,17.22
Pacific Grove,US,36.62,-121.92,40,71,55.99,4.7
Bundibugyo,UG,0.74,30.04,93,90,53.26,1.59
Morondava,MG,-20.28,44.28,0,90,72.03,3.22
Lüderitz,NA,-26.65,15.16,0,82,60.8,5.82
Beroroha,MG,-21.67,45.17,1,87,69.78,2.53
San Michele al Tagliamento,IT,45.76,12.99,28,100,48.99,2.24
Nipawin,CA,53.37,-104.0,40,60,10.4,3.36
Jiuquan,CN,39.74,98.52,43,28,31.84,2.53
Qeshm,IR,26.96,56.27,0,82,69.8,4.7
Sabha,LY,27.04,14.43,81,23,70.25,14.92
Kyzyl-Suu,KG,42.34,78.0,0,41,37.8,3.33
Bambanglipuro,ID,-7.95,110.28,92,86,77.27,4.34
Aklavik,CA,68.22,-135.01,40,73,23.0,4.74
Ilulissat,GL,69.22,-51.1,96,59,3.2,21.92
Puerto Carreño,CO,6.19,-67.49,40,32,95.0,9.17
Tambun,ID,-6.26,107.07,40,88,80.01,2.39
Seoul,KR,37.57,126.98,1,93,39.2,3.13
Rūdsar,IR,37.14,50.29,100,95,45.28,11.07
Vardø,NO,70.37,31.11,90,92,24.8,9.17
Kinablangan,PH,7.69,126.55,96,82,75.76,1.43
Tazovsky,RU,67.47,78.7,100,95,19.92,10.69
Klupci,RS,44.53,19.25,65,74,44.44,2.37
Awjilah,LY,29.11,21.29,0,34,58.15,11.43
Rockland,US,41.17,-74.05,90,58,54.0,4.7
Fallon,US,39.47,-118.78,75,26,48.2,9.17
Ignalina,LT,55.35,26.17,83,89,37.53,8.81
Vigrestad,NO,58.57,5.7,75,75,44.6,12.75
Padang,ID,-0.95,100.35,51,87,68.97,5.1
Sawākin,SD,19.11,37.33,0,65,75.76,8.19
Bogorodskoye,RU,56.55,37.88,96,88,34.02,9.89
Morant Bay,JM,17.88,-76.41,20,55,86.0,12.75
Akhtubinsk,RU,48.28,46.17,80,55,36.77,3.09
Cruzeiro do Sul,BR,-29.51,-51.99,0,78,77.0,1.99
Tabas,IR,33.6,56.92,21,42,66.2,2.24
Togur,RU,58.36,82.83,100,83,25.25,16.58
Teya,RU,60.38,92.63,100,85,11.08,5.19
Pangkalanbuun,ID,-2.68,111.62,100,97,74.75,3.11
San Patricio,MX,19.22,-104.7,0,75,77.79,7.87
Ketchikan,US,55.34,-131.65,1,65,46.4,17.22
Virginia Beach,US,36.85,-75.98,1,67,66.2,4.7
Diré,ML,12.28,-10.97,1,14,79.36,1.68
Praia,CV,14.92,-23.51,75,68,69.8,17.22
Salinópolis,BR,-0.61,-47.36,72,81,82.24,11.83
Shimoda,JP,34.67,138.95,40,53,57.0,10.29
Torbay,CA,47.67,-52.73,75,73,28.0,19.46
Tongliao,CN,43.61,122.27,25,40,45.48,20.85
Port Macquarie,AU,-31.43,152.92,90,93,69.01,6.93
Ola,RU,59.58,151.28,93,80,9.97,1.57
Tilichiki,RU,60.47,166.1,100,86,16.29,7.72
Gigmoto,PH,13.78,124.39,16,78,78.76,12.26
Qarchī Gak,AF,37.04,66.79,0,71,62.6,2.24
Rome,US,43.21,-75.46,90,60,43.0,14.99
Nome,US,64.5,-165.41,90,92,30.2,12.75
Cody,US,44.53,-109.06,90,43,57.0,13.87
Matagami,CA,49.75,-77.63,75,67,21.2,19.46
Quatre Cocos,MU,-20.21,57.76,40,88,77.0,3.8
Arrondissement de Libourne,FR,44.92,-0.25,20,100,50.0,1.12
Novy Urengoy,RU,66.08,76.63,100,94,21.49,11.43
Cap Malheureux,MU,-19.98,57.61,40,88,77.0,6.76
Yenagoa,NG,4.92,6.26,86,89,79.07,5.03
